File,Path,Subdirectory,Parent,Depth,Size,Lines,Functions,Classes,Imports,Hash,Modified,Docstring,Creative_Purpose,Business_Domain,What_It_Does,Key_Features,Dependencies,Has_CLI,Has_Argparse,Has_Async,Has_Threading,Has_Database,Has_API,Has_Media,Has_AI,Has_DryRun,Has_Backup,Deep_Description
create_avatararts_index.py,create_avatararts_index.py,.,ROOT,0,12011,300,8,2,8,ad3590f2645c,2026-01-25,"Walks AVATARARTS, classifies every file by type and function, generates 4 CSVs.",Ecosystem Indexer,File Management,"Walks AVATARARTS, classifies every file by type and function, generates 4 CSVs.",CLI,"os,csv,json,pandas,hashlib",yes,no,no,no,no,no,no,no,no,no,"Outputs: main index, function index, duplicates index, directory analysis."
create_avatars_db.py,create_avatars_db.py,.,ROOT,0,9240,282,5,0,6,067bf728f5a9,2026-01-16,Creates SQLite database of AVATARARTS ecosystem files.,Ecosystem Indexer,File Management,Creates SQLite database of AVATARARTS ecosystem files.,CLI;SQLite,"sqlite3,os,pathlib",yes,no,no,no,yes,no,no,no,no,no,"SQLite-backed file catalog with metadata, categories, tags."
navigator.py,navigator.py,.,ROOT,0,10502,265,9,1,8,08520a504016,2026-02-03,User-friendly interface to discover 4127 Python scripts. No jargon — just practical discovery and access.,Ecosystem Navigator,File Management,User-friendly interface to discover 4127 Python scripts. No jargon — just practical discovery and access.,CLI;JSON,"os,json,pathlib",yes,no,no,no,no,no,no,no,no,no,"Commands: ecosystem overview, find tools by purpose, show categories, navigate to script."
enhanced_content_aware_categorization.py,enhanced_content_aware_categorization.py,.,ROOT,0,14146,326,8,0,8,e056dec3b46a,2026-01-29,16 functional business categories with weighted keyword scoring. SQLite-backed. Based on AutoTag system.,Enhanced Content Categorizer,AI Services,16 functional business categories with weighted keyword scoring. SQLite-backed. Based on AutoTag system.,CLI;argparse;SQLite,"json,re,sqlite3",yes,yes,no,no,yes,no,no,no,no,no,"Categories: AUTOMATION, REVENUE, BUSINESS_INTELLIGENCE, AI_ML, DATA_PROCESSING, etc."
enhanced_file_organizer.py,enhanced_file_organizer.py,.,ROOT,0,15132,407,12,1,12,e4755e5954c8,2026-01-21,"Multiple organization strategies (extension/size/date/content), dry-run, backup/rollback, progress tracking, custom rules.",Enhanced File Organizer,File Management,"Multiple organization strategies (extension/size/date/content), dry-run, backup/rollback, progress tracking, custom rules.",CLI;argparse,"shutil,mimetypes,hashlib",yes,yes,no,no,no,no,no,no,no,no,"Configurable strategies with file_type groups, size thresholds, custom rules engine."
enhanced_automation_orchestrator.py,enhanced_automation_orchestrator.py,.,ROOT,0,17829,495,19,3,14,b1658ce94334,2026-01-21,"The conductor — task dependencies, timeout handling, retry with backoff, thread pool, signal handling, plugin system.",Enhanced Orchestrator,Automation/DevOps,"The conductor — task dependencies, timeout handling, retry with backoff, thread pool, signal handling, plugin system.",CLI;argparse;parallel,"json,logging,threading,signal",yes,yes,no,yes,no,no,no,no,no,no,"Dependency graph execution, configurable timeouts, retry logic, graceful shutdown, plugin architecture."
avatar_utils.py,avatar_utils.py,.,ROOT,0,3960,134,10,0,6,5d4f1a04467c,2026-04-12,"The foundation stone — loads .env.d configs, retry/timing decorators, prevents file overwrites, CLI headers.",Environment Loader,System Administration,"The foundation stone — loads .env.d configs, retry/timing decorators, prevents file overwrites, CLI headers.",CLI,"os,time,pathlib,functools",yes,no,no,no,no,no,no,no,no,no,"Every other script imports this. load_env_d(), timing_decorator, retry_decorator, get_unique_file_path(), print_header()."
universal_file_toolkit.py,universal_file_toolkit.py,.,ROOT,0,27170,632,18,6,17,1f65fab35d71,2026-01-21,"Content-aware file ops — reads Python AST to categorize, multi-algorithm dedup, intelligent renaming, filtered scanning.",File Time Machine,File Management,"Content-aware file ops — reads Python AST to categorize, multi-algorithm dedup, intelligent renaming, filtered scanning.",CLI;argparse;parallel,"hashlib,ast,re,mimetypes",yes,yes,no,yes,no,no,no,no,no,no,"Commands: organize, dedupe, rename, scan. Categories: api_clients, file_management, deduplication, video_tools, image_tools, ai_tools."
catalog_art.py,catalog_art.py,.,ROOT,0,3317,101,2,0,4,a8f662ee98d8,2026-02-12,"Curator walking through a gallery — PSD/AI/SVG always valuable, PNG/JPG >1MB print-ready.",Gallery Curator,Visual Art,"Curator walking through a gallery — PSD/AI/SVG always valuable, PNG/JPG >1MB print-ready.",CLI,"os,csv,pathlib",yes,no,no,no,no,no,no,no,no,no,"Scans ~/Pictures, classifies by creative lineage, outputs sellable asset catalog CSV."
review_home_with_progress.py,review_home_with_progress.py,.,ROOT,0,2624,82,3,0,5,a16f8c12cffa,2026-02-12,Scans entire home directory with emoji progress: ⏳ pending → 🔄 spinning → ✅ done.,Home Review Mirror,System Administration,Scans entire home directory with emoji progress: ⏳ pending → 🔄 spinning → ✅ done.,CLI,"os,subprocess,pathlib",yes,no,no,no,no,no,no,no,no,no,"Reports: directory count, file count, total size, top-level listing with sizes. Emoji progress indicators."
web-png-upscale.py,web-png-upscale.py,.,ROOT,0,2248,50,1,0,2,160c52305a83,2026-02-12,"Walks directories, finds WebP, upscales 2x with PIL LANCZOS, sets 300 DPI, saves JPEG, deletes original.",Image Upscaler,Visual Art,"Walks directories, finds WebP, upscales 2x with PIL LANCZOS, sets 300 DPI, saves JPEG, deletes original.",media,"PIL,os",no,no,no,no,no,no,yes,no,no,no,Print shop: WebP→JPEG 2x upscale at 300 DPI for print-ready output.
computer_use_mcp.py,computer_use_mcp.py,.,ROOT,0,16636,470,16,0,8,32082e5ce871,2026-02-08,"MCP server exposing Playwright browser control — initialize_browser, click_at, type_text_at, scroll, press_key, JS exec, screenshot.",MCP Computer Use Server,MCP/Agent Tools,"MCP server exposing Playwright browser control — initialize_browser, click_at, type_text_at, scroll, press_key, JS exec, screenshot.",async;HTTP;media,"playwright,PIL,mcp",no,no,yes,no,no,yes,yes,no,no,no,"Async MCP server. Tools: init browser, click (normalized coords), type (editable detection), scroll, key press, JS, screenshot, close."
deploy_to_marketplaces.py,deploy_to_marketplaces.py,.,ROOT,0,12438,413,7,0,9,77dcfcbff966,2026-04-12,"Defines 3 bundles ($97/$147/$197), configures 4 platforms (Gumroad 10%/CodeCanyon 30%/Payhip 5%/Sellfy 0%), creates ZIPs.",Marketplace Deployer,Marketplace/Sales,"Defines 3 bundles ($97/$147/$197), configures 4 platforms (Gumroad 10%/CodeCanyon 30%/Payhip 5%/Sellfy 0%), creates ZIPs.",CLI;argparse,"shutil,zipfile,argparse",yes,yes,no,no,no,no,no,no,no,no,"Bundles: code-quality, social-media, ai-toolkit. Platforms: gumroad, codecanyon, payhip, sellfy."
memory_system.py,memory_system.py,.,ROOT,0,19872,530,22,4,11,55430d6c1b1a,2026-02-03,"The hippocampus — indexes every Python script with SHA256, AST parsing, relationship mapping, semantic recall.",Memory Index,Automation/DevOps,"The hippocampus — indexes every Python script with SHA256, AST parsing, relationship mapping, semantic recall.",CLI;argparse;SQLite,"json,hashlib,ast",yes,yes,no,no,yes,no,no,no,no,no,Searchable brain for 4000+ scripts. Incremental — only re-analyzes changed files. Exports Markdown reports.
meta_agent.py,meta_agent.py,.,ROOT,0,5203,164,4,0,3,5651b0afe7c2,2026-02-11,"AI-powered refactoring tool — analyzes code, suggests improvements, executes transformations.",Meta Refactoring Agent,AI Services,"AI-powered refactoring tool — analyzes code, suggests improvements, executes transformations.",CLI;AI;HTTP,"subprocess,json,argparse",yes,no,no,no,no,yes,no,yes,no,no,"Refactoring strategies via AI prompts, git-ai integration for acceptance rate analysis."
vid-transcribe-storytell.py,vid-transcribe-storytell.py,.,ROOT,0,6606,114,5,0,6,4993f0d61b3e,2026-02-12,"Film critic that lives inside videos — finds metaphors, narrative arcs, turning points, creator intent.",Narrative Film Analyst,Video Production,"Film critic that lives inside videos — finds metaphors, narrative arcs, turning points, creator intent.",CLI;argparse;HTTP;AI,"openai,subprocess,dotenv",yes,yes,no,no,no,yes,no,yes,no,no,"Same pipeline as song-transcribe but with film-critic GPT prompt: narrative arc, metaphors, storytelling techniques."
cleanup_numbered_dirs.py,cleanup_numbered_dirs.py,.,ROOT,0,4335,117,5,1,5,7b8d0d79f93c,2026-02-03,"Strips ""00_"", ""01_"" prefixes from directory names in AVATARARTS.",Numbered Dir Cleaner,File Management,"Strips ""00_"", ""01_"" prefixes from directory names in AVATARARTS.",CLI,"os,re,pathlib",yes,no,no,no,no,no,no,no,no,no,--execute to actually rename. Reports conflicts.
vance.py,vance.py,.,ROOT,0,4431,118,3,0,6,5a3d3e02f3db,2026-02-12,"Batch image upscaler via VanceAI API — sends, polls, downloads, runs 4 in parallel, logs CSV.",Photo Lab Manager,Visual Art,"Batch image upscaler via VanceAI API — sends, polls, downloads, runs 4 in parallel, logs CSV.",HTTP;parallel;media,"requests,pandas",no,no,no,yes,no,yes,yes,no,no,no,"VanceAI 2x/4x upscaling with ThreadPoolExecutor, progress polling, CSV result logging."
find_scattered_pythons.py,find_scattered_pythons.py,.,ROOT,0,8153,254,8,0,5,09319ba98de7,2026-02-03,"Scout that wanders home directory finding scattered Python files, classifies by location.",Scattered Script Scout,File Management,"Scout that wanders home directory finding scattered Python files, classifies by location.",CLI;argparse;CSV,"os,pathlib,csv",yes,yes,no,no,no,no,no,no,no,no,"Classifies: home-root, avatararts:*, project:*, media-docs:*. Reads docstrings to determine purpose. Skips cloned repos."
song-transcribe-dalle.py,song-transcribe-dalle.py,.,ROOT,0,4970,114,5,0,6,8c76497f0418,2026-02-12,"Listens to a song, transcribes with Whisper, extracts emotional themes → generates DALL-E visual direction. A song becoming a gallery.",Song-to-Visual Translator,Music Production,"Listens to a song, transcribes with Whisper, extracts emotional themes → generates DALL-E visual direction. A song becoming a gallery.",CLI;argparse;async;HTTP;AI;dry-run,"openai,subprocess,dotenv",yes,yes,yes,no,no,yes,no,yes,yes,no,Splits MP4 into 5-min segments → Whisper transcription → GPT emotional analysis → DALL-E visual prompts saved per section.
sora_integration.py,sora_integration.py,.,ROOT,0,4127,144,7,3,6,5a90bef7376c,2026-01-12,"Async Sora video generation — dataclass requests/results, batch processing, context manager for session lifecycle.",Sora Video Studio,Video Production,"Async Sora video generation — dataclass requests/results, batch processing, context manager for session lifecycle.",async;HTTP;AI,"aiohttp,asyncio",no,no,yes,no,no,yes,no,yes,no,no,"OpenAI Sora API integration with async client, batch generate, proper resource management."
advanced_consolidation_strategy.py,advanced_consolidation_strategy.py,.,ROOT,0,14486,377,5,0,11,e3452e22107a,2026-02-03,"The architect — reads dedup reports, generates 3-phase strategy, writes bash implementation script.",Strategic Planner,File Management,"The architect — reads dedup reports, generates 3-phase strategy, writes bash implementation script.",CLI,"json,csv,pathlib",yes,no,no,no,no,no,no,no,no,no,Phase 1: Safe 95% auto. Phase 2: Structured 70%. Phase 3: Architectural 40%. Generates bash script with color output.
universal_automation_hub.py,universal_automation_hub.py,.,ROOT,0,27339,676,36,8,20,0745e29c2430,2026-01-21,"Central nervous system — DataProcessor, MediaProcessor, AIAutomation, SystemMaintenance, APIClient, threaded scheduler.",Task Orchestrator,Automation/DevOps,"Central nervous system — DataProcessor, MediaProcessor, AIAutomation, SystemMaintenance, APIClient, threaded scheduler.",CLI;argparse;async;parallel;HTTP;AI;media,"requests,json,logging,threading",yes,yes,yes,yes,no,yes,yes,yes,no,no,"Subcommands: run-all, run-task, schedule, api, data-process, media-process, ai-task. Aggregates CSV/JSON, resizes images, converts audio, classifies text."
content_based_dedupe_report.py,content_based_dedupe_report.py,.,ROOT,0,3887,112,4,0,6,3d7105d283fe,2026-02-03,Byte-level SHA256 content hash grouping — finds files with identical contents regardless of name or location.,Truth-Seeker,File Management,Byte-level SHA256 content hash grouping — finds files with identical contents regardless of name or location.,CLI;argparse;CSV,"hashlib,csv,pathlib",yes,yes,no,no,no,no,no,no,no,no,"Outputs CSV: Hash, Size, Occurrences, Paths. --same-dir-only for safe dedup."
unified_ai_manager.py,unified_ai_manager.py,.,ROOT,0,7201,201,17,6,8,c71a6411f448,2026-01-21,"Abstract AIProvider base — OpenAIProvider, AnthropicProvider. Loads API keys from ~/.env.d/.",Unified AI Manager,AI Services,"Abstract AIProvider base — OpenAIProvider, AnthropicProvider. Loads API keys from ~/.env.d/.",CLI;AI;HTTP,"openai,anthropic",yes,no,no,no,no,yes,no,yes,no,no,"ABC-based provider pattern, env.d integration, model selection, error handling."
unified_file_processor.py,unified_file_processor.py,.,ROOT,0,11624,287,10,2,10,a5c693a50fef,2026-01-21,"Consolidated file ops — hash calc, dedup by hash, organize by extension, parallel processing.",Unified File Processor,File Management,"Consolidated file ops — hash calc, dedup by hash, organize by extension, parallel processing.",CLI;parallel,"hashlib,shutil,json",yes,no,no,yes,no,no,no,no,no,no,"FileProcessor class: calculate_file_hash, find_duplicates_by_hash, organize_by_extension."
progress_indicators_ascii_emoji.py,progress_indicators_ascii_emoji.py,.,ROOT,0,3235,114,3,0,4,20dd9f6c5848,2026-02-12,"ASCII spinners (|/-\), emoji progress bars (▐█████░░░░▌ 60%), step-style output. The visual language every script speaks.",Visual Feedback Performer,System Administration,"ASCII spinners (|/-\), emoji progress bars (▐█████░░░░▌ 60%), step-style output. The visual language every script speaks.",CLI,"sys,time",yes,no,no,no,no,no,no,no,no,no,"Functions: spinner(), progress_bar(), demo(). Reference chart for ASCII and emoji progress styles."
quiz-choice-break.py,quiz-choice-break.py,.,ROOT,0,2920,85,2,0,4,c248534606f8,2026-04-12,"Reads questions, pauses 3s, reads options, pauses 5s, reveals answer — builds tension and release of a game show.",Voice Quiz Actor,Education,"Reads questions, pauses 3s, reads options, pauses 5s, reveals answer — builds tension and release of a game show.",HTTP;AI,requests,no,no,no,no,no,yes,no,yes,no,no,"SSML-powered quiz reader with OpenAI TTS ""shimmer"" voice. CSV → MP3 quiz show."
quiz-speech-timed-speak.py,quiz-speech-timed-speak.py,.,ROOT,0,2200,71,2,0,3,4f1ed79fdd19,2026-02-12,Timed speech output with pause intervals.,Voice Quiz Actor,Education,Timed speech output with pause intervals.,HTTP,requests,no,no,no,no,no,yes,no,no,no,no,Speech timing control for quiz audio generation.
quiz-speech-pauses.py,quiz-speech-pauses.py,.,ROOT,0,1399,47,1,0,3,0192840d19dc,2026-02-12,SSML speech synthesis with timed pauses for quiz format.,Voice Quiz Actor,Education,SSML speech synthesis with timed pauses for quiz format.,HTTP,requests,no,no,no,no,no,yes,no,no,no,no,OpenAI TTS with SSML breaks for quiz timing.
whisper_json_csv_processor.py,whisper_json_csv_processor.py,.,ROOT,0,11284,345,11,1,10,8278192e2bf4,2026-01-21,"Processes Whisper JSON transcriptions, exports to CSV with timestamps.",Whisper Transcriber,Music Production,"Processes Whisper JSON transcriptions, exports to CSV with timestamps.",CLI;JSON;CSV,"json,csv",yes,no,no,no,no,no,no,no,no,no,Whisper JSON → CSV with time-aligned text segments.
mp4-transcript.py,mp4-transcript.py,.,ROOT,0,7448,182,5,0,6,d4a5377ae204,2026-02-12,Transcribes MP4 video files using Whisper API.,Whisper Transcriber,Music Production,Transcribes MP4 video files using Whisper API.,CLI;HTTP;AI,openai,yes,no,no,no,no,yes,no,yes,no,no,MP4 → Whisper API → timestamped transcript.
mp4-trans.py,mp4-trans.py,.,ROOT,0,5693,164,5,0,6,a8e89ae66777,2026-02-12,Video transcription with audio extraction.,Whisper Transcriber,Music Production,Video transcription with audio extraction.,CLI;HTTP,"openai,subprocess",yes,no,no,no,no,yes,no,no,no,no,"Extracts audio from MP4, sends to Whisper, saves transcript."
whisper-json-csv.py,whisper-json-csv.py,.,ROOT,0,2083,78,0,0,5,177950f3e3ee,2026-02-12,Converts Whisper JSON output to CSV format.,Whisper Transcriber,Music Production,Converts Whisper JSON output to CSV format.,CLI;JSON;CSV,"json,csv",yes,no,no,no,no,no,no,no,no,no,Simple JSON-to-CSV converter for Whisper transcription results.
