hash,path,size_bytes,modified_iso,duration_sec,bitrate,folder_hint
9e6afc3fdf484a23dffd5faa439834fc,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0802/Resources/empty_audio2s.mp3,8469,2025-05-23T04:58:49,2.051,33039,steven/Movies
9e6afc3fdf484a23dffd5faa439834fc,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803/Resources/empty_audio2s.mp3,8469,2025-07-19T15:02:21,2.051,33039,steven/Movies
9e6afc3fdf484a23dffd5faa439834fc,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803 (1)/Resources/empty_audio2s.mp3,8469,2025-07-19T15:02:21,2.051,33039,steven/Movies
9e6afc3fdf484a23dffd5faa439834fc,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803 (2)/Resources/empty_audio2s.mp3,8469,2025-07-19T15:02:21,2.051,33039,steven/Movies
9e6afc3fdf484a23dffd5faa439834fc,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/1008 (1)/Resources/empty_audio2s.mp3,8469,2025-09-09T03:41:13.281144,2.051,33039,steven/Movies
0f4ef9f7b9ad906cd46014a8cff91558,/Users/steven/Movies/Ai-Art-Mp4/CasualWalkInUrbanSetting.mp4,3538416,2025-10-07T11:39:27.422947,5.031,5626301,steven/Movies
0f4ef9f7b9ad906cd46014a8cff91558,/Users/steven/Movies/mp4/Cyborg_turns_head_slowly_eyes_following_unseen_target._Camera_pans_right_then_zooms_slight.mp4,3538416,2025-09-11T15:20:21.732127,5.031,5626301,steven/Movies
2c9f33fe6adcc02484602e8545db9323,/Users/steven/Movies/Movies - Strayfall.mp3,854528,2025-05-31T12:02:30.772590,27.074,252497,steven/Movies
2c9f33fe6adcc02484602e8545db9323,/Users/steven/Movies/stray/strayFall.mp3,854528,2025-05-31T12:02:30.772590,27.074,252497,steven/Movies
38dc567ef7dc3055e2537c1a71ebf448,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Miss Information Parody Artistry.mp3,2519069,2025-05-31T11:55:11.816733,6.293,3202575,steven/Movies
38dc567ef7dc3055e2537c1a71ebf448,/Users/steven/Movies/Ai-Art-Mp4/mp3/Miss_Information_Parody_Artistry.mp3,2519069,2025-05-31T11:55:11.816733,6.293,3202575,steven/Movies
3dfa44fb4fc2486b695785676eb1b94f,/Users/steven/Movies/stories-to-be-told/The Last Train Part 1-HOOK.mp3,5166707,2025-05-31T12:05:15.388886,169.771,243467,steven/Movies
3dfa44fb4fc2486b695785676eb1b94f,/Users/steven/Music/The_Last_Train_Part_1_-_Hook.mp3,5166707,2025-05-31T12:05:15.388886,169.771,243467,steven/Music
3f8e6dd0673e0d561f1275a01297e1d5,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Miss Information Parody Artistic Alien.mp3,2511986,2025-05-31T11:55:14.604086,6.293,3193570,steven/Movies
3f8e6dd0673e0d561f1275a01297e1d5,/Users/steven/Movies/Ai-Art-Mp4/mp3/Miss_Information_Parody_Artistic_Alien.mp3,2511986,2025-05-31T11:55:14.604087,6.293,3193570,steven/Movies
4823e2e68264d6b2ae8d464b0dc4e825,/Users/steven/Movies/Ai-Art-Mp4/Library_-_Leonardo.Ai.mp4,6737736,2025-08-03T00:41:42.251970,5.031,10713418,steven/Movies
4823e2e68264d6b2ae8d464b0dc4e825,/Users/steven/Movies/mp4/Achaoticpressconferenceunfolds.mp4,6737736,2025-09-11T14:41:01.421498,5.031,10713418,steven/Movies
54b599ea304ef75737c69f3fffeade94,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Palsguild Artistry.mp3,5949981,2025-05-31T11:55:23.996936,203.035,234441,steven/Movies
54b599ea304ef75737c69f3fffeade94,/Users/steven/Movies/Ai-Art-Mp4/mp3/PalsGuild_Artistry.mp3,5949981,2025-05-31T11:55:23.996937,203.035,234441,steven/Movies
71936b6230d91e3d0a5e2af5293eb6d6,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cookie Monster Mania.mp3,3133826,2025-05-31T11:55:33.191522,27.516,911140,steven/Movies
71936b6230d91e3d0a5e2af5293eb6d6,/Users/steven/Movies/Ai-Art-Mp4/mp3/cookie_monster_mania.mp3,3133826,2025-05-31T11:55:33.191522,27.516,911140,steven/Movies
822a486008551fd42876fa968c1e8ab6,/Users/steven/Movies/TaskAde/Introducing Your AI Sales Agent — Taskade x HubSpot to Help You Close More Deals.mp3,1467930,2025-05-31T12:05:43.113969,51.084,229885,steven/Movies
822a486008551fd42876fa968c1e8ab6,/Users/steven/Music/Introducing_Your_Ai_Sales_Agent_-_Taskade_X_Hubspot_to_Help_You_Close_More_Deals.mp3,1467930,2025-05-31T12:05:43.113969,51.084,229885,steven/Music
8e4f758e53690bd7750fca078c3b354b,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cosmic Tooth Illumination.mp3,3738374,2025-05-31T11:55:11.192248,58.282,513142,steven/Movies
8e4f758e53690bd7750fca078c3b354b,/Users/steven/Movies/Ai-Art-Mp4/mp3/Cosmic_Tooth_Illumination.mp3,3738374,2025-05-31T11:55:11.192248,58.282,513142,steven/Movies
919239b737c52f51db4ae5891f8976d6,/Users/steven/Movies/Movies - Strayrun.mp3,610030,2025-05-31T12:02:31.247662,13.746,355024,steven/Movies
919239b737c52f51db4ae5891f8976d6,/Users/steven/Movies/stray/strayRUN.mp3,610030,2025-05-31T12:02:31.247662,13.746,355024,steven/Movies
a1b1ddb5b639c112c90a450be58ff29f,"/Users/steven/Movies/TaskAde/Taskade’s Latest AI Agent Updates – AI Teams, Source References, Automation Filters, Mobile Updates!.mp3",4861171,2025-05-31T12:05:24.510099,207.424,187487,steven/Movies
a1b1ddb5b639c112c90a450be58ff29f,"/Users/steven/Music/podcast/S Latest Ai Agent Updates - Ai Teams, Source References, Automation Filters, Mobile Updates!.mp3",4861171,2025-05-31T12:05:24.510099,207.424,187487,steven/Music
aa9b8a8df6aa6a4902485825c43e4433,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Pals Trickster.mp3,3917743,2025-05-31T11:59:26.068229,213.763,146620,steven/Movies
aa9b8a8df6aa6a4902485825c43e4433,/Users/steven/Movies/Ai-Art-Mp4/mp3/pals trickster.mp3,3917743,2025-05-31T11:59:26.068229,213.763,146620,steven/Movies
b42db796a7a1cbda54e9eb1eca005269,/Users/steven/Movies/Movies - Strayroll.mp3,478339,2025-05-31T12:02:29.692239,10.816,353801,steven/Movies
b42db796a7a1cbda54e9eb1eca005269,/Users/steven/Movies/stray/StrayRoll.mp3,478339,2025-05-31T12:02:29.692239,10.816,353801,steven/Movies
b7f7173e9df41f5996518748c6ad1f1b,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cookie Craving Creatures.mp3,2416091,2025-05-31T11:55:31.924943,16.277,1187473,steven/Movies
b7f7173e9df41f5996518748c6ad1f1b,/Users/steven/Movies/Ai-Art-Mp4/mp3/cookie_craving_creatures.mp3,2416091,2025-05-31T11:55:31.924943,16.277,1187473,steven/Movies
bddfeb1b4e7c70d956ca2ce4383b95f2,/Users/steven/Movies/Ai-Art-Mp4/mp3/Ring Pirate.mp3,5219855,2025-05-31T11:55:21.268965,32.322,1291956,steven/Movies
bddfeb1b4e7c70d956ca2ce4383b95f2,/Users/steven/Movies/Short - Ring Pirate.mp3,5219855,2025-05-31T11:55:21.268965,32.322,1291956,steven/Movies
c9fa258d97b9f34563576e21651265a2,/Users/steven/Movies/Ai-Art-Mp4/mp3/cuddler2.mp3,1200135,2025-05-31T11:55:15.932197,22.272,431082,steven/Movies
c9fa258d97b9f34563576e21651265a2,/Users/steven/Music/Meeso_-_Cuddler2.mp3,1200135,2025-05-31T11:55:15.932197,22.272,431082,steven/Music
d3b1bba93268d53d6c0427d5b8b79982,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0406/generate_resources/9b6e56fa1bed21249dba60225264ef43.mp4,135569,2025-04-06T05:23:33.239286,10.400,104283,steven/Movies
d3b1bba93268d53d6c0427d5b8b79982,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0601 (2)/generate_resources/ce80278c3deefef1cf2ec11d7e49e8bd.mp4,135569,2025-06-01T20:12:28.037062,10.400,104283,steven/Movies
edaa05bb64c05aa62d80de5e93057e53,/Users/steven/Movies/Ai-Art-Mp4/veo30fastgeneratepreview_A_black_and_white_mugshotstyle_poster_0.mp4,5044173,2025-08-03T13:37:12.486297,8.000,5044173,steven/Movies
edaa05bb64c05aa62d80de5e93057e53,/Users/steven/Movies/mp4/AblackandwhitemugshotstyleposterfeaturingaAdarkgreasyurbanalleyatnightfill.mp4,5044173,2025-09-11T15:19:21.343829,8.000,5044173,steven/Movies
eeea0337408badf6f754fe437fcddcb3,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Cosmic Cookie Craze.mp3,3139940,2025-05-31T11:55:19.004429,27.904,900212,steven/Movies
eeea0337408badf6f754fe437fcddcb3,/Users/steven/Movies/Ai-Art-Mp4/mp3/cosmic_cookie_craze.mp3,3139940,2025-05-31T11:55:19.004429,27.904,900212,steven/Movies
ef4570552bb49dc7aa62eeb723f5efb7,/Users/steven/Movies/Movies - Straykisses.mp3,450223,2025-05-31T12:02:30.092195,7.936,453853,steven/Movies
ef4570552bb49dc7aa62eeb723f5efb7,/Users/steven/Movies/stray/strayKisses.mp3,450223,2025-05-31T12:02:30.092195,7.936,453853,steven/Movies
f738162beee8aa7e26ddb78a0b1f617f,/Users/steven/Movies/Ai-Art-Mp4/Ai-Art-Mp4 - Coh2024-Run.mp3,1348763,2025-05-31T11:55:09.570871,54.891,196574,steven/Movies
f738162beee8aa7e26ddb78a0b1f617f,/Users/steven/Movies/Ai-Art-Mp4/mp3/coh2024-run.mp3,1348763,2025-05-31T11:55:09.570871,54.891,196574,steven/Movies
f8493a733bdec2ec9e19e389cf54c93c,/Users/steven/Movies/Ai-Art-Mp4/mp3/Intro Stream.mp3,2399021,2025-05-31T11:55:13.364156,12.005,1598718,steven/Movies
f8493a733bdec2ec9e19e389cf54c93c,/Users/steven/Movies/Choake - Intro Stream.mp3,2399021,2025-05-31T11:55:13.364156,12.005,1598718,steven/Movies
