Filename,File Size,Creation Date,Original Path
Walter Russell - A New Concept Of The Universe.pdf,22.52 MB,10-07-24,/Volumes/Pics
image_data.txt,13.00 B,10-06-24,/Volumes/Pics
img.py,6.95 KB,10-06-24,/Volumes/Pics
sort2.py,2.25 KB,08-17-24,/Volumes/Pics
Terminal installer log.txt,143.63 KB,08-17-24,/Volumes/Pics
songs.csv,1.84 KB,10-07-24,/Volumes/Pics/neon-punk-player
README.md,717.00 B,10-07-24,/Volumes/Pics/neon-punk-player
slider.html,4.67 KB,10-07-24,/Volumes/Pics/neon-punk-player
LICENSE.txt,1.19 KB,10-07-24,/Volumes/Pics/neon-punk-player
index.html,4.83 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
script.js,3.81 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
style.css,3.34 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
index.html,3.94 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
script.js,3.72 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
style.css,3.34 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
card.js,3.72 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
requirements.txt,628.00 B,10-06-24,/Volumes/Pics/steven
fancyimg.py,2.77 KB,10-06-24,/Volumes/Pics/steven
Halloween Funny Cat.pdf,31.66 MB,10-06-24,/Volumes/Pics/steven/halloween/Halloween Funny Cat
Funny Cat 3.pdf,48.44 MB,10-06-24,/Volumes/Pics/steven/halloween/Funny Cat 3
web-qa.py,13.47 KB,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
requirements.txt,1.30 KB,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
README.md,225.00 B,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
images_data.json,95.62 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025
gallery.json,546.00 B,09-07-24,/Volumes/Pics/steven/Pictures/2025
index.html,97.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public
photoswipe.css,4.04 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
main.css,1.27 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
default-skin.css,11.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
photoswipe-ui-default.min.js,9.65 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
photoswipe.min.js,31.16 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
main.js,2.93 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
mydesigns-export.CSV,30.35 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn
mask.py,2.41 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
orn-up.py,2.21 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
remove.py,929.00 B,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
process.py,2.41 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
mug.py,2.20 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream/all_images/16-9
upscale_images.sh,1.21 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy
ups.py,2.55 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy
upscale-sub.py,2.60 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy
bashup.sh,1.41 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy
list.py,962.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
requirements.txt,493.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
test.csv,37.07 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
output.csv,91.21 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
list_csv.py,495.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
test2.csv,35.43 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
test3.csv,27.20 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
Easter Typography Design.pdf,2.41 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D
images_data.json,585.86 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas
gallery.json,559.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas
index.html,500.04 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public
photoswipe.css,4.04 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/css
main.css,2.32 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/css
default-skin.css,11.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/css
photoswipe-ui-default.min.js,16.46 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/js
photoswipe.min.js,65.56 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/js
main.js,2.93 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/xmas/public/js
25.pdf,1.01 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/Delightful-3D-Bookmark-Menagerie-89619403
Funny Witch Quotes Bundle.txt,724.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/The-Ultimate-Halloween-Quotes-Bundle-75921225/5. Mega Halloween SVG Bundle/Funny Witch Quotes Bundle/Funny Witch Quotes Bundle
Christmas Card Holder Bundle 16.pdf,1.70 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/16-Christmas-Gift-Card-Holder-103463034
sortD.sh,680.00 B,10-06-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
config.py,63.00 B,10-06-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
requirements.txt,31.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
other-07-24-15:58.csv,2.61 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
organize.py,1.07 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
docs-07-24-15:57.csv,1.01 MB,10-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
image_data-08-08-19-04.csv,50.11 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
image_data.txt,25.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
docs.py,6.50 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
audio-07-24-15:56.csv,128.26 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
image_data-07-24-15-57.csv,7.40 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
img.py,6.98 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
docs-07-15-21:23.csv,3.58 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
vids.py,7.33 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
vids-07-24-16:12.csv,108.03 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
audio.py,7.34 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
image_data-07-18-08-12.csv,105.79 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
vids.txt,13.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
back-clean.sh,994.00 B,10-06-24,/Volumes/Pics/steven/Pictures/etsy/3D/clean
extracted_urls_info.csv,10.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/3D-Orns
2-28-2-Manifesto__Project_2025.md,786.49 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/3D-Orns
urls_and_info.csv,876.00 B,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/3D-Orns
prompt_graphic_vivid-color.pdf,3.07 MB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/Compressed
Thanks-for-the-purchase.docx,123.45 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/Compressed
Thanks-for-the-purchase-pROMP-LIBRARY.docx,236.04 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/Compressed
UltimateNotionLifePlanner-DarkMode.pdf,377.37 KB,09-07-24,/Volumes/Pics/steven/Pictures/etsy/3D/Compressed
mask.py,2.39 KB,09-07-24,/Volumes/Pics/steven/Pictures/ornament
orn-up.py,2.23 KB,09-07-24,/Volumes/Pics/steven/Pictures/ornament
remove.py,927.00 B,09-07-24,/Volumes/Pics/steven/Pictures/ornament
process.py,2.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/ornament
pdf (2).pdf,3.32 MB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
AIPRM-export-chatgpt-thread_2024-01-20T01_17_12.343Z.md,202.73 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (3).pdf,1.38 MB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
As dawn breaks.docx,182.05 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
images_data.json,14.70 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
This year we can get three glorious boxes and a whole bunch of purple boxes The boxes are divided into three categories – Zone Dungeon and Imperial City boxes With each variant the first box will be gold and the subsequent – purple Zone.txt,3.29 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (4).pdf,203.09 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (5).pdf,1.90 MB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
AIPRM-export-chatgpt-thread_2024-01-20T01_17_03.041Z.md,23.31 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
gallery.json,590.00 B,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (6).pdf,1.02 MB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (7).pdf,447.60 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
AIPRM-export-chatgpt-thread_2024-01-20T01_16_51.467Z.md,10.76 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf.pdf,143.10 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
pdf (1).pdf,1.47 MB,10-07-24,/Volumes/Pics/Driver/ESO-Glory
content_script.js,8.89 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/chrome-chatgpt-share-v1.3.4
manifest.json,451.00 B,10-07-24,/Volumes/Pics/Driver/ESO-Glory/chrome-chatgpt-share-v1.3.4
html2canvas.min.js,194.03 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/chrome-chatgpt-share-v1.3.4/scripts
jspdf.umd.min.js,355.92 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/chrome-chatgpt-share-v1.3.4/scripts
2024-01-19 15-23-02 - ChatGPT #regular #ogCho - [45fbe4d9-e82d-4e80-a1ef-08b7b05c90ab].json,14.98 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 18-14-14 - ESO-Guilds-Glory - Google Drive #regular #ogCho - [57990391-adcd-473d-958f-eb7f7eae2266].json,32.61 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 18-29-14 - ChatGPT #regular #ogCho - [6f70797e-ee0b-4f8c-a7af-68e5446b7d62].json,11.53 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 15-38-02 - Untitled spreadsheet - Google Sheets #regular #ogCho - [71431d74-5b9e-4047-aa70-9d4c044b2ed0].json,17.62 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 18-44-14 - New Tab #regular #ogCho - [f2ef9a7d-7c9d-48aa-af73-3abdf9f11e20].json,10.33 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 16-08-02 - ChatGPT #regular #ogCho - [0a0ac437-13c4-4fda-be6d-4afd82093784].json,23.61 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 14-53-02 - dravicenna-youtube-gpt-content-maker- This python script automates the process of creating short videos by utilizing GPT3 API for content creation #regular #ogCho - [ee76dbc1-6bfb-4100-98b4-82f0aa674cdd].json,62.21 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 16-38-20 - Untitled spreadsheet - Google Sheets #regular #ogCho - [c86e430c-ddeb-4a69-b5e5-e4565d8e8849].json,20.17 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 17-23-20 - ChatGPT #regular #ogCho - [9545b757-1216-4a7f-a4a0-88be6ec0ae74].json,25.13 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 15-08-02 - Window Manager #regular #ogCho - [1ff339d7-1765-4c54-94b4-24be8b686717].json,69.85 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Regularly
2024-01-19 16-26-23 - Sign in - Google Accounts #winClose #ogCho - [5c912aa6-85d4-41e0-aa8e-81fff73fd056].json,1.69 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 15-32-43 - This year we can get three glorious boxes and a whole bunch of purple boxes The boxes are divided into three categories – Zone Dungeon and Imperial City boxes With each variant the first box will be gold and the sub.json,2.59 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-53-09 - New Tab #winClose #ogCho - [9762000e-5b13-4df0-891c-094a3a2d80e4].json,1.99 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-53-13 - Help - EIN Assistant #winClose #ogCho - [74147708-4db8-4adf-8d92-3c97e21fb594].json,2.09 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-28-40 - guilds-glory - Google Docs #winClose #ogCho - [9b53385f-2a3e-4ab0-b31f-e9c0c13ece98].json,23.52 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-52-21 - New Tab #winClose #ogCho - [b76bbdfb-e674-4856-ad1f-6ea60ea6aa8b].json,4.98 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-52-26 - TikTok Shop Seller Center - United States #winClose #ogCho - [c1a2bc80-a895-4983-bab7-09391d439f28].json,4.02 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 15-08-09 - Window Manager #winClose #ogCho - [f0ea1b18-4c27-4c10-8ba1-c8b5c96e708c].json,38.23 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-30-49 - This year we can get three glorious boxes and a whole bunch of purple boxes The boxes are divided into three categories – Zone Dungeon and Imperial City boxes With each variant the first box will be gold and the sub.json,2.59 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-52-27 - Help - EIN Assistant #winClose #ogCho - [a2fb0ae3-ff25-40db-b03c-5be254303ef7].json,2.09 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-31-08 - PlayHT #winClose #ogCho - [0456926e-351c-4bd9-9a10-8bb8b9072084].json,2.48 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-53-10 - Help - EIN Assistant #winClose #ogCho - [af721cb3-d81b-4f87-ad6d-59f299e96bdd].json,2.09 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-31-13 - (644) BREAKING- Possible change to Trump's DC trial date surges into spotlight - YouTube #winClose #ogCho - [0e7f63c4-0b24-4ba6-b155-37e34ff58ed0].json,5.78 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Window closed
2024-01-19 18-49-43 - New Tab #browserExit #ogCho - [3355d143-0d14-4103-a4b0-69363e6f50f6].json,10.40 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/TabSessionManager - Backup/Auto Save - Browser exited
AIPRM-export-chatgpt-thread_2024-01-19T09_54_52.953Z.md,176.26 KB,10-07-24,/Volumes/Pics/Driver/ESO-Glory/text
README.md,512.00 B,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist
LICENSE.txt,1.20 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist
index.html,1.83 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/dist
index.html,1.22 KB,10-07-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
script.js,10.62 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
style.css,11.04 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
requirements.txt,62.00 B,06-21-24,/Volumes/Pics/Trashy/mine
Raccoon_Alley_Album_Art.html,160.27 MB,10-06-24,/Volumes/Pics/Trashy/mine/covers
Raccoon_Alley_Album_Art.md,160.13 MB,06-21-24,/Volumes/Pics/Trashy/mine/covers
README.md,512.00 B,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist
LICENSE.txt,1.20 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist
index.html,1.83 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/dist
index.html,1.22 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
script.js,10.62 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
style.css,11.04 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
requirements.txt,45.00 B,06-21-24,/Volumes/Pics/Trashy/TrashCaT
motion-upload.py,1.65 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale-dl.py,3.46 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscaled_images_log.csv,1.98 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale 2.py,1.79 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale 2 copy.py,1.79 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
Detailed Descriptions for TrashCat Punk Images.md,5.87 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscaled_images_log.csv,1.98 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT/trashy-heartbreak
ChatGPT Widescreen Mode 🖥️-2024.6.17.user.js,65.48 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
scancsv.py,983.00 B,10-06-24,/Volumes/Pics/Trashy/tashy-python
convert-loop2.py,5.14 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
upscale-.py,1.10 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
upscale.py,1.99 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
leocsv.py,5.60 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
upscale.sh,1.48 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
upscaled.py,5.37 KB,10-06-24,/Volumes/Pics/Trashy/tashy-python
