title,description,keywords,file_path
Unveiling Black Widow's Mysterious Alloy! 🕷️🔍 #MarvelSecrets #Shorts,Uncover the mystery behind Black Widow's powerful gauntlets! What secret technology powers them? Join the investigation!,"Black Widow, Marvel, superhero, gauntlets, secret, mystery, metal, Widow's Bite, Natasha Romanoff, espionage, action, cinematic, comic book, Avenger, superheroine, hidden technology, spy gear, investigation, uncover",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/1-widowsglove.mp4
Harry Potter's Botanical Wonders: Unraveling the Screaming Plant Enigma! 🌿✨ #WizardingWorldSecrets #Shorts,Step into Harry Potter's botanical world and identify the plant that screams!,"Harry Potter, magical plant, Herbology, quiz, mystery, Mandrake, Hogwarts, J.K. Rowling, Wizarding World, flora, magical creatures, botany, scream, enchanted garden, plant care, magical education, potions ingredients",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/4-harry-potter.mp4
Wolverine's Unbreakable Core: The Secret Metal Revealed! 🔩🚫 #XMenMysteries #MarvelUnveiled #Shorts,Explore the indestructible metal in Wolverine's claws in this revealing Marvel quiz!,"Wolverine, Marvel, indestructible, metal, adamantium, claws, superhero, X-Men, mutant, Marvel Comics, Marvel Universe, superhero powers, regenerative abilities, comic book, weapon, mutant abilities, adamantium skeleton, mutant hero",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/5-wolverine.mp4
Black Widow Exposed: Decrypting the Spy's Hidden Life! 🕷️🔓 #MarvelRevealed #Shorts,Dive into the Marvel Universe to uncover the true identity of the Black Widow!,"Black Widow, superhero identity, Marvel, quiz, Natasha Romanoff, spy, Avengers, espionage, intelligence, secret identity, KGB, action hero, female superhero, Marvel cinematic, covert operations, Russian spy, superhero lore",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/7-romanoff.mp4
Harry Potter's Fierce Flora: Confronting the Aggressive Plant! 🌳🥊 #MagicalBotany #Shorts,Confront the aggressive plant of the Harry Potter world in this thrilling quiz!,"Harry Potter, magical flora, Whomping Willow, quiz, J.K. Rowling, aggressive plant, Hogwarts, magical nature, enchanted forest, wizarding botany, magical creatures, Herbology, plant defense, magical world, enchanted plants, wizardry, magical education",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/8-harrypotter.mp4
Wonder Woman's Bracelets Demystified: Amazonian Secrets Unlocked! ⚔️🗝️ #DCUniverse #Shorts,Discover the composition of Wonder Woman's powerful bracelets in this DC Comics quiz!,"Wonder Woman, bracelets, DC Comics, quiz, Amazonian Metal, Themyscira, superheroine, indestructible, Amazon warrior, DC Universe, empowerment, superhero gear, comic book hero, Greek mythology, warrior princess, superhero accessories, Amazonian lore",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/9-wonderwoman.mp4
Klingon Code of Honor: Inside the Warrior Ethos! 🛡️⚔️ #StarTrekCulture #Shorts,Dive into the world of Star Trek and discover the core value that defines Klingon culture. Take the quiz!,"Star Trek, Klingon, warriors, culture, sci-fi, trivia, honor, Klingon Empire, space opera, warrior culture, Starfleet interactions, alien species, interstellar politics, Worf, Klingon rituals, Star Trek universe, warrior ethos",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/10-startrek.mp4
Green Lantern's Might: Unlocking the Ring's Power! 💚💍 #DCSuperpowers #Shorts,Who's the man behind Green Lantern's mask? Uncover the secret and test your DC Universe knowledge!,"Green Lantern, alter ego, DC Comics, superhero, quiz, Hal Jordan, power ring, intergalactic law enforcement, Lantern Corps, emerald knight, superpower, cosmic duty, Oa, DC Universe, superhero identity, space sector protector, ring constructs",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/11-greenlantern.mp4
Harry Potter's Magical Creatures: Identify the Flying Unicorn! 🦄 #WizardWorld,Explore the magical creatures of Harry Potter and guess which one resembles a flying unicorn. Join the quiz!,"Harry Potter, magical creatures, unicorn, quiz, Hippogriff, Thestral, flying creatures, J.K. Rowling, wizarding fauna, Hogwarts, magical zoology, fantasy animals, Care of Magical Creatures, Hagrid, wizarding curriculum, magical beasts, enchanted beings",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/12-harrypotter.mp4
Aquaman's Trident: Discover the Metal Mystery! 🔱 #DCComics,What's the secret behind Aquaman's powerful trident? Find out in this underwater quiz!,"Aquaman, trident, metal, DC Comics, superhero, Atlantean artifact, marine hero, ocean king, Arthur Curry, underwater adventure, mystical weapon, sea sovereignty, superhero weapon, oceanic power, Atlantean technology, deep-sea lore, king of Atlantis",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/13-aquaman.mp4
Star Trek's Shape-Shifters: Masters of Disguise! 🎭 #TrekTrivia,Which Star Trek species can change their appearance? Test your knowledge in this intergalactic quiz!,"Star Trek, disguise, shape-shifters, Changelings, quiz, Odo, Deep Space Nine, alien species, metamorphosis, espionage, interstellar beings, sci-fi mystery, Starfleet encounters, alien deception, transformation ability, extraterrestrial adaptability, space drama",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/14-startrek.mp4
Hawkeye's Secret Arrows: Uncover the Metal! 🏹 #MarvelSecrets,What makes Hawkeye's arrows so special? Aim for the right answer in this Marvel mystery quiz!,"Hawkeye, arrows, metal, Marvel, superhero, quiz, archery, Vibranium, Adamantium, Clint Barton, Avengers, precision, weaponry, Marvel Universe, archer hero, combat gear, superhero arsenal, tactical skills",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/17-hawkeye.mp4
Star Trek's Energy Warriors: Name the Species! ⚡ #AlienTech,Identify the Star Trek species that turns energy into a weapon in this electrifying quiz!,"Star Trek, energy, species, alien tech, quiz, Borg, Romulans, Breen, energy manipulation, sci-fi species, Starfleet challenges, alien abilities, intergalactic beings, space technology, energy-based powers, extraterrestrial warriors, sci-fi battles",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/18-startrek.mp4
Harry Potter's Giant Spider Encounter! 🕷️ #CreatureFeature,Venture into the Wizarding World to uncover the secrets of the giant spider lurking in the Forbidden Forest!,"Harry Potter, giant spider, Creature Feature, magical creatures, Aragog, Forbidden Forest, Wizarding World, fantasy, magical beasts, Hagrid, mythology, magical world, Hogwarts, magical creatures in literature, J.K. Rowling, giant arachnid, magical creature habitat",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/19-hawk.mp4
Harry Potter's Mysterious Flying Serpent! 🐍 #MagicalCreatures,Encounter the winged serpent-like creature in Harry Potter and guess its identity in this magical quiz!,"Harry Potter, flying serpent, magical creatures, fantasy fauna",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/20-harrypotter.mp4
Star Trek's Regenerative Species! 🌌 #TrekTrivia,"Dive into the vast universe of Star Trek and test your knowledge with this intriguing question! Do you know which species in the Star Trek series is celebrated for their remarkable ability to regenerate body parts and their profound telepathic skills? Is it the logical Vulcans, the empathetic Betazoids, or the formidable Andorians? Engage with this quiz to prove your Star Trek expertise and explore the fascinating traits that make each species unique in the galaxy. Join the adventure and discover more about the diverse life forms that populate the Star Trek universe!","Star Trek, regenerative species, telepathy, Vulcan, Betazoid, Andorian, sci-fi, alien species, telepathic communication, body regeneration, interstellar beings, Starfleet knowledge, extraterrestrial abilities, space exploration",/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/24-harrypotter.mp4
,,,/Users/steven/Documents/quiz-talk/GTrivia/17-Gtrivia/25-startrek.mp4